Num.Decisions Good Bad Demi Unknown
43104 18685 17214 7141 64
60706 26386 24645 9593 82
44280 18693 18049 7483 55
40779 17595 15764 7371 49
51398 22520 20780 8036 62
47786 20447 19020 8233 86
45826 20008 18089 7684 45
44157 18617 17009 8481 50
48407 21550 18834 7967 56
57469 24800 23115 9476 78
42883 17664 17124 8032 63
49821 21566 20570 7617 68
35620 15323 13652 6581 64
49180 21227 19795 8105 53
45711 19194 18312 8152 53
57792 25922 22363 9427 80
15867 8069 4760 2974 64
16363 8398 4790 3116 59
18760 9410 5849 3411 90
26169 13310 8214 4541 104
15401 7598 4758 2965 80
19208 9689 5991 3457 71
18301 9329 5626 3271 75
17839 9090 5425 3229 95
19089 10006 5651 3366 66
13643 7014 4004 2576 49
15629 8137 4523 2901 68
20063 10090 6376 3508 89
17903 8996 5425 3387 95
14887 7506 4487 2829 65
16228 8113 5243 2825 47
15571 7861 4799 2838 73
67448 21822 28477 16988 161
64110 20659 27962 15359 130
74561 25180 33527 15691 163
56045 17192 23518 15183 152
57764 18085 24338 15206 135
64326 21758 27488 14922 158
72892 24382 32242 16068 200
71800 23533 31327 16779 161
71914 22980 31267 17490 177
84489 27149 37345 19812 183
65670 21482 28858 15204 126
75370 25485 33577 16154 154
79713 26703 35703 17125 182
69594 22861 30825 15740 168
71942 23145 31512 17094 191
60103 19391 25280 15269 163
64677 23170 29505 11922 80
64521 22601 28786 13069 65
66481 24216 28933 13245 87
49821 17953 22248 9560 60
66330 23936 29319 13016 59
61621 21188 27180 13178 75
55140 19774 23765 11536 65
55609 19349 24356 11838 66
55567 19513 23914 12066 74
73325 25271 32593 15380 81
71575 24835 32753 13913 74
61567 22260 27121 12113 73
69327 25028 30454 13771 74
64573 22881 29019 12594 79
61654 22437 26699 12440 78
60383 21563 27119 11645 56
45848 20956 16965 7859 68
47537 20982 18467 8005 83
38518 17351 14936 6170 61
43664 19947 16628 7030 59
40728 18417 15249 7002 60
43891 19446 15992 8382 71
35033 15958 13170 5854 51
50119 22714 19122 8207 76
45128 20532 17112 7419 65
44817 20521 16591 7635 70
41766 18720 16196 6782 68
37432 16610 14652 6112 58
35119 15690 12820 6544 65
37625 16978 13860 6725 62
44278 19680 16758 7760 80
34257 15371 12545 6298 43
55249 19076 23757 12341 75
51664 18439 21986 11170 69
56141 21014 24770 10309 48
67416 23973 29579 13799 65
44201 15631 19035 9500 35
57715 20283 25218 12152 62
56490 20718 24749 10977 46
49881 17296 20984 11555 46
55780 19264 23926 12521 69
58756 21364 25117 12226 49
55859 19786 23954 12057 62
60032 22345 26004 11623 60
53276 19251 22460 11509 56
65326 24179 28619 12466 62
57322 19640 24579 13038 65
59613 21458 25835 12278 42
111784 37247 56179 17965 393
111641 37038 55034 19105 464
94384 31579 46713 15676 416
143738 50925 71505 20781 527
109760 37836 54236 17258 430
141009 48959 69617 21974 459
123104 41851 60369 20376 508
128179 42829 64455 20393 502
102143 33843 50343 17551 406
127697 44940 64176 18152 429
123776 42284 61212 19840 440
123175 42908 60293 19484 490
129656 43670 64212 21246 528
116347 39959 57396 18530 462
100103 34689 49371 15702 341
128254 43547 63019 21151 537
57214 22457 24224 10471 62
63082 24247 26621 12154 60
59948 23642 25510 10742 54
58401 23239 25042 10064 56
66917 26134 28796 11920 67
57055 22279 23891 10821 64
51884 20303 21810 9715 56
55797 21946 24443 9363 45
56851 21721 24356 10724 50
61061 23720 26387 10885 69
64673 25528 27637 11447 61
60117 22872 25579 11606 60
48043 18061 20045 9874 63
55175 21104 23857 10167 47
40778 15496 16994 8234 54
63580 24182 27556 11780 62
